Ciudad o localidad,Región,OACI,IATA,Nombre,Tipo
Quellon,Los Lagos,SCQU,,Aeródromo Quellon,Aeródromo
Quemchi,Los Lagos,SCQM,,Aeródromo Quemchi,Aeródromo
Quilpué,Valparaíso,SCQP,,Aeródromo Quilpué,Aeródromo
Quillota,Valparaíso,SCQT,,Aeródromo Quillota,Aeródromo
Quinchao,Los Lagos,SCQO,,Aeródromo Quinchao,Aeródromo
Quinta de Tilcoco,O'Higgins,SCQT,,Aeródromo Quinta de Tilcoco,Aeródromo
Quinta Normal,Metropolitana,SCQN,,Aeródromo Quinta Normal,Aeródromo
Quirihue,Ñuble,SCQR,,Aeródromo Quirihue,Aeródromo
Rauco,Maule,SCRA,,Aeródromo Rauco,Aeródromo
Rengo,O'Higgins,SCRN,,Aeródromo Rengo,Aeródromo
Requínoa,O'Higgins,SCRQ,,Aeródromo Requínoa,Aeródromo
Retiro,Maule,SCRT,,Aeródromo Retiro,Aeródromo
Río Bueno,Los Ríos,SCRB,,Aeródromo Río Bueno,Aeródromo
Río Claro,Maule,SCRC,,Aeródromo Río Claro,Aeródromo
Río Hurtado,Coquimbo,SCRH,,Aeródromo Río Hurtado,Aeródromo
Río Ibáñez,Aysén,SCRI,,Aeródromo Río Ibáñez,Aeródromo
Río Negro,Los Ríos,SCRN,,Aeródromo Río Negro,Aeródromo
Romeral,Maule,SCRM,,Aeródromo Romeral,Aeródromo
Rosario,O'Higgins,SCRS,,Aeródromo Rosario,Aeródromo
Sagrada Familia,Maule,SCSF,,Aeródromo Sagrada Familia,Aeródromo
Salamanca,Coquimbo,SCSA,,Aeródromo Salamanca,Aeródromo
San Antonio,Valparaíso,SCAT,,Aeródromo San Antonio,Aeródromo
San Bernardo,Metropolitana,SCSB,,Aeródromo San Bernardo,Aeródromo
San Carlos,Ñuble,SCSC,,Aeródromo San Carlos,Aeródromo
San Clemente,Maule,SCCL,,Aeródromo San Clemente,Aeródromo
San Esteban,Valparaíso,SCSE,,Aeródromo San Esteban,Aeródromo
San Felipe,Valparaíso,SCSP,,Aeródromo San Felipe,Aeródromo
San Fernando,O'Higgins,SCFN,,Aeródromo San Fernando,Aeródromo
San Gregorio,Magallanes,SCSG,,Aeródromo San Gregorio,Aeródromo
San Javier,Maule,SCSJ,,Aeródromo San Javier,Aeródromo
San José de Maipo,Metropolitana,SCSM,,Aeródromo San José de Maipo,Aeródromo
San Pedro,Metropolitana,SCSP,,Aeródromo San Pedro,Aeródromo
San Rafael,Maule,SCSR,,Aeródromo San Rafael,Aeródromo
San Ramón,Metropolitana,SCSR,,Aeródromo San Ramón,Aeródromo
San Vicente,O'Higgins,SCSV,,Aeródromo San Vicente,Aeródromo
Santa Bárbara,Biobío,SCSTB,,Aeródromo Santa Bárbara,Aeródromo
Santa Cruz,O'Higgins,SCSC,,Aeródromo Santa Cruz,Aeródromo
Santo Domingo,Valparaíso,SCSD,,Aeródromo Santo Domingo,Aeródromo
Talagante,Metropolitana,SCTL,,Aeródromo Talagante,Aeródromo
Talca,Maule,SCTC,,Aeródromo Las Rastras,Aeródromo
Taltal,Antofagasta,SCTT,,Aeródromo Taltal,Aeródromo
Teno,Maule,SCTE,,Aeródromo Teno,Aeródromo
Tierra Amarilla,Atacama,SCTA,,Aeródromo Tierra Amarilla,Aeródromo
Tiltil,Metropolitana,SCTT,,Aeródromo Tiltil,Aeródromo
Tirúa,Biobío,SCTR,,Aeródromo Tirúa,Aeródromo
Tocopilla,Antofagasta,SCTO,,Aeródromo Tocopilla,Aeródromo
Tomé,Biobío,SCTM,,Aeródromo Tomé,Aeródromo
Traiguén,La Araucanía,SCTR,,Aeródromo Traiguén,Aeródromo
Trehuaco,Ñuble,SCTH,,Aeródromo Trehuaco,Aeródromo
Tucapel,Biobío,SCTU,,Aeródromo Tucapel,Aeródromo
Valdivia,Los Ríos,SCVL,,Aeródromo Las Marías,Aeródromo
Vallenar,Atacama,SCLL,VLR,Aeródromo Vallenar,Aeródromo
Valparaíso,Valparaíso,SCRD,,Aeródromo Rodelillo,Aeródromo
Vichuquén,Maule,SCVQ,,Aeródromo Cuatro Pantanos,Aeródromo
Vichuquén,Maule,SCVK,,Aeródromo El Álamo,Aeródromo
Victoria,La Araucanía,SCTO,ZIC,Aeródromo Victoria,Aeródromo
Victoria,La Araucanía,SCVO,,Aeródromo María Ester,Aeródromo
Vicuña,Coquimbo,SCVC,,Aeródromo El Indio,Aeródromo
Vicuña,Coquimbo,SCVN,,Aeródromo Huancara,Aeródromo
Vilcún,La Araucanía,SCVU,,Aeródromo Agromanzún,Aeródromo
Vilcún,La Araucanía,SCVY,,Aeródromo Malla,Aeródromo
Vilcún,La Araucanía,SCNH,,Aeródromo Ainhoa,Aeródromo
Vilcún,La Araucanía,SCRV,,Aeródromo La Verónica,Aeródromo
Villa Cerro Castillo,Magallanes,SCPY,,Aeródromo Cerro Castillo,Aeródromo
Villa O'Higgins,Aysén,SCIO,,Aeródromo Laguna Redonda,Aeródromo
Villa O'Higgins,Aysén,SCOH,,Aeródromo Villa O'Higgins,Aeródromo
Villarrica,La Araucanía,SCMF,,Aeródromo Malloco,Aeródromo
Villarrica,La Araucanía,SCVI,,Aeródromo Villarrica,Aeródromo
Yumbel,Biobío,SCYB,,Aeródromo Trilahue,Aeródromo
Zapallar,Valparaíso,SCZC,,Aeródromo Casas Viejas,Aeródromo
Zapallar,Valparaíso,SCZA,,Aeródromo La Empastada,Aeródromo
Zapallar,Valparaíso,,,Aeródromo Catapilco,Aeródromo
Concón (Valparaíso),Valparaíso,SCVM,KNA,Base Aeronaval y Aeropuerto Concón,Base Militar
Quintero,Valparaíso,SCUO,QTR,Base Aérea de Quintero,Base Militar
Rancagua,O'Higgins,SCRG,QRC,Aeródromo de la Independencia,Base Militar
El Bosque (Santiago),Metropolitana,SCBQ,BQE,Base Aérea El Bosque,Base Militar
Arica,Arica y Parinacota,SCAE,,Aeródromo El Buitre,Base Militar
Padre Las Casas,La Araucanía,SCTC,PZS,Base Aérea Maquehue,Base Militar
Isla San Felix,Valparaíso,SCFX,,Base aeronaval,Base Militar
Posesión,Magallanes,SHSE,,Helipuerto ENAP Posesión,Helipuerto
Quilicura,Metropolitana,SHKP,,Helipuerto Kipreos,Helipuerto
Rancagua,O'Higgins,SHCP,,Helipuerto Servicios Aéreos Copters,Helipuerto
Yerbas Buenas,Maule,SHHE,,Helipuerto de Yerbas Buenas,Helipuerto
